date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:41:09	86563/86563	---MCZ	200	added ('OK')	text/html	date:Mon,%2018%20Aug%202025%2002:41:08%20GMT	https://act.daoju.qq.com/act/a20250718xbtz/index.html	xuanbao/act.daoju.qq.com/act/a20250718xbtz/index.html	(from )
10:41:10	1525/1525	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Aug%202025%2002:41:09%20GMT	https://act.daoju.qq.com/robots.txt		(from )
10:41:10	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2018%20Aug%202025%2002:41:10%20GMT	http://act.daoju.qq.com/act/a20250718xbtz/css/pc.css?v=1.1	xuanbao/act.daoju.qq.com/act/a20250718xbtz/css/pc.1f9e3.delayed	(from https://act.daoju.qq.com/act/a20250718xbtz/index.html)
10:41:11	48868/48868	---M-Z	200	added ('OK')	text/css	etag:W/%226892f660-bee4%22	https://act.daoju.qq.com/act/a20250718xbtz/css/pc.css?v=1.1	xuanbao/act.daoju.qq.com/act/a20250718xbtz/css/pcf9e3.css	(from https://act.daoju.qq.com/act/a20250718xbtz/index.html)
10:41:12	10648/10648	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%22688d9034-2998%22	https://act.daoju.qq.com/act/a20250718xbtz/js/sMilo.js	xuanbao/act.daoju.qq.com/act/a20250718xbtz/js/sMilo.js	(from https://act.daoju.qq.com/act/a20250718xbtz/index.html)
10:41:13	61035/61035	---M-Z	200	added ('OK')	application/x-javascript	etag:W/%2268935dac-ee6b%22	https://act.daoju.qq.com/act/a20250718xbtz/js/index.js	xuanbao/act.daoju.qq.com/act/a20250718xbtz/js/index.js	(from https://act.daoju.qq.com/act/a20250718xbtz/index.html)
10:41:14	80082/80082	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Aug%202025%2002:33:17%20GMT	https://act.daoju.qq.com/act/a20250718xbtz/neiqian.html	xuanbao/act.daoju.qq.com/act/a20250718xbtz/neiqian.html	(from https://act.daoju.qq.com/act/a20250718xbtz/js/index.js)
10:41:15	3396/3396	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2018%20Aug%202025%2002:41:15%20GMT	https://act.daoju.qq.com/act/a20250718xbtz/hdnq.html	xuanbao/act.daoju.qq.com/act/a20250718xbtz/hdnq.html	(from https://act.daoju.qq.com/act/a20250718xbtz/js/index.js)
10:41:16	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2018%20Aug%202025%2002:41:16%20GMT	http://act.daoju.qq.com/act/a20250718xbtz/css/pc.css	xuanbao/act.daoju.qq.com/act/a20250718xbtz/css/pc.css	(from https://act.daoju.qq.com/act/a20250718xbtz/neiqian.html)
10:41:17	48868/48868	---M-Z	200	added ('OK')	text/css	etag:W/%226892f660-bee4%22	https://act.daoju.qq.com/act/a20250718xbtz/css/pc.css	xuanbao/act.daoju.qq.com/act/a20250718xbtz/css/pc.css	(from https://act.daoju.qq.com/act/a20250718xbtz/neiqian.html)
10:41:18	0/0	---M--	302	error ('Found')	text/html	date:Mon,%2018%20Aug%202025%2002:41:18%20GMT	http://act.daoju.qq.com/act/a20250718xbtz/css/neiiqian.css	xuanbao/act.daoju.qq.com/act/a20250718xbtz/css/neiiqian.css	(from https://act.daoju.qq.com/act/a20250718xbtz/neiqian.html)
10:41:19	1106/1106	---M-Z	200	added ('OK')	text/css	etag:W/%226892dc94-452%22	https://act.daoju.qq.com/act/a20250718xbtz/css/neiiqian.css	xuanbao/act.daoju.qq.com/act/a20250718xbtz/css/neiiqian.css	(from https://act.daoju.qq.com/act/a20250718xbtz/neiqian.html)
